UNICA ATACADISTA DE TINTAS

COMPRAS POR FORNECEDOR - ANALÍTICO 17/07/2026 16:36

Gerar por data de : EMISSÃO
Data Inicial : 01/01/2026
Data Final : 30/06/2026
Número do documento de Entrada : TODOS
Espécie do documento de Entrada : TODOS
Série do documento de Entrada : TODOS
Empresa : 009-UNICA ATACADISTA DE TINTAS
Item : TODOS
Descrição do item : TODOS
Fornecedor : TODOS
Marca : TODOS
Linha / Grupo : TODOS
Departamento : TODOS
Grupo de produtos : TODOS
Grupo de compra : TODOS
Unidade : TODOS
Acordo de Objetivos : NÃO
Exibir quantidade convertida em embalagens : NÃO
Destino : CSV

DOCUMENTO;FORNECEDOR;DATA;CÓDIGO;DESCRIÇÃO DO ITEM;REFERÊNCIA;MARCA;UNID;VR. UNIT.;QUANTID.;LITR./QUILOS;TOT. PROD.;VR. IPI;VR. SUBST.;VR. FRETE;DES. ACE.;OUT.DES;VR.ICMS;DESC. ESP;VR. CONTÁBIL
"000001016746-NF-009";"00000008 - PINCEIS ATLAS S.A.";07/02/2026;"030028.10120";"TRINCHA 395 3  PINTURA LATEX E ACRILICA 395/7 ATLAS";"";"ATLAS";"UN";7,35;120,00;0,00;882,00;0,00;0,00;0,00;0,00;0,00;61,74;0,00;882,00
"000001016746-NF-009";"00000008 - PINCEIS ATLAS S.A.";07/02/2026;"030028.10119";"TRINCHA 395 3/4  PINTURA LATEX E ACRILICA 395/2 ATLAS";"";"ATLAS";"UN";1,43;12,00;0,00;17,16;0,00;0,00;0,00;0,00;0,00;1,20;0,00;17,16
"000001016746-NF-009";"00000008 - PINCEIS ATLAS S.A.";07/02/2026;"030028.10121";"TRINCHA 395 4  PINTURA LATEX E ACRILICA 395/9 ATLAS";"";"ATLAS";"UN";8,42;120,00;0,00;1.010,40;0,00;0,00;0,00;0,00;0,00;40,42;0,00;1.010,40
"000001021535-NF-009";"00000008 - PINCEIS ATLAS S.A.";04/03/2026;"030028.84702";"ROLO TEXTURA RUSTICA 23CM 1155 ATLAS";"";"ATLAS";"UN";26,53;24,00;0,00;636,72;0,00;0,00;0,00;0,00;0,00;44,57;0,00;636,72
"000001021535-NF-009";"00000008 - PINCEIS ATLAS S.A.";04/03/2026;"030028.85044";"TRINCHA 319 1 1/2  PINTURA ESMALTE 319/4 ATLAS";"";"ATLAS";"UN";3,40;12,00;0,00;40,80;0,00;0,00;0,00;0,00;0,00;2,86;0,00;40,80
"000001021535-NF-009";"00000008 - PINCEIS ATLAS S.A.";04/03/2026;"030028.84430";"ROLO BRASILEIRINHO 23CM AT2014 ATLAS";"";"ATLAS";"UN";12,71;12,00;0,00;152,52;0,00;0,00;0,00;0,00;0,00;10,68;0,00;152,52
"000001021702-NF-009";"00000008 - PINCEIS ATLAS S.A.";05/03/2026;"030028.84436";"BROXA PINTURA RETANGULAR 15X6CM 800/1 ATLAS";"";"ATLAS";"UN";3,93;60,00;0,00;235,80;0,00;0,00;0,00;0,00;0,00;16,51;0,00;235,80
"000001021702-NF-009";"00000008 - PINCEIS ATLAS S.A.";05/03/2026;"030028.10109";"ESPATULA AÇO CROMADO 10CM 4  6255/16 ATLAS";"";"ATLAS";"UN";7,53;12,00;0,00;90,36;4,70;0,00;0,00;0,00;0,00;3,61;0,00;95,06
"000001021702-NF-009";"00000008 - PINCEIS ATLAS S.A.";05/03/2026;"030028.10107";"ESPATULA AÇO CROMADO 6,4CM 2 1/2  6255/10 ATLAS";"";"ATLAS";"UN";6,04;12,00;0,00;72,48;3,77;0,00;0,00;0,00;0,00;2,90;0,00;76,25
"000001021702-NF-009";"00000008 - PINCEIS ATLAS S.A.";05/03/2026;"030028.10108";"ESPATULA AÇO CROMADO 7,6CM 3  6255/12 ATLAS";"";"ATLAS";"UN";6,33;24,00;0,00;151,92;7,90;0,00;0,00;0,00;0,00;6,08;0,00;159,82
