Cód.Item;Descrição;Novo Código de fábrica;Novo Marca;Desc. Marca;Novo Fornecedor;Desc. Fornecedor;Novo Linha/Grupo;Desc. Linha/Grupo
86731;CR CORALAR ACR MAIS DES PEDRA PREC 3.6L;5828232;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86247;CR CORALAR ACR MAIS RES AREIA 18L;5271670;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86248;CR CORALAR ACR MAIS RES AREIA 3,6L;5271672;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86734;CR CORALAR ACR MAIS RES BRANCO 15L;5830546;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86239;CR CORALAR ACR MAIS RES CAMURCA 18L;5271385;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86249;CR CORALAR ACR MAIS RES CAMURCA 3,6L;5271686;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86725;CR CORALAR ACR MAIS RES DIA NUBLADO 18L;5828145;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86724;CR CORALAR ACR MAIS RES DIA NUBLADO 3.6L;5828144;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86245;CR CORALAR ACR MAIS RES LA MARACATU 18L;5271666;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86246;CR CORALAR ACR MAIS RES LA MARACATU 3,6L;5271668;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86173;CR CORALAR ACR MAIS RES MARFIM 3,6L;5207306;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86240;CR CORALAR ACR MAIS RES OCEANO 18L;5271590;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86243;CR CORALAR ACR MAIS RES OCEANO 3,6L;5271595;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86241;CR CORALAR ACR MAIS RES PALHA 18L;5271592;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86242;CR CORALAR ACR MAIS RES PALHA 3,6L;5271593;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86722;CR CORALAR ACR MAIS RES PEDRA PREC 18L;5828124;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86723;CR CORALAR ACR MAIS RES PEDRA PREC 3.6L;5828125;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86721;CR CORALAR ACR MAIS RES PEROLA 18L;5828026;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86733;CR CORALAR ACR MAIS RES PEROLA 3.6L;5828234;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85797;CR CORALAR ACRILICO CROMO SUAVE GL 3,6L;5202306;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
85770;CR CORALAR ACRILICO MAIS BRILHO E PROTEÇÃO BASE PM GL 3,2L;5202140;800073;CORAL;534;AKZO NOBEL LTDA;30006;BASES IMOBILIÁRIAS
85771;CR CORALAR ACRILICO MAIS BRILHO E PROTEÇÃO BASE PM LATA 16L;5202142;800073;CORAL;534;AKZO NOBEL LTDA;30006;BASES IMOBILIÁRIAS
85768;CR CORALAR ACRILICO MAIS BRILHO E PROTEÇÃO BRANCO GL 3,6L;5202138;800073;CORAL;534;AKZO NOBEL LTDA;30001;TINTA PAREDE
